fiscal_year,state,district,crop,season,area,production,crop_yield,year
1997-98,Tamil Nadu,Coimbatore,Arhar(Tur),Whole Year,1393.0,700.0,0.5,1997
1997-98,Tamil Nadu,Coimbatore,Bajra,Whole Year,518.0,910.0,1.76,1997
1997-98,Tamil Nadu,Coimbatore,Banana,Kharif,5619.0,183740.0,32.7,1997
1997-98,Tamil Nadu,Coimbatore,Banana,Whole Year,7269.0,285930.0,39.34,1997
1997-98,Tamil Nadu,Coimbatore,Black pepper,Whole Year,131.0,30.0,0.23,1997
1997-98,Tamil Nadu,Coimbatore,Cardamom,Whole Year,834.0,70.0,0.08,1997
1997-98,Tamil Nadu,Coimbatore,Cashewnut,Whole Year,63.0,40.0,0.63,1997
1997-98,Tamil Nadu,Coimbatore,Castor seed,Whole Year,199.0,70.0,0.35,1997
1997-98,Tamil Nadu,Coimbatore,Coriander,Whole Year,709.0,130.0,0.18,1997
1997-98,Tamil Nadu,Coimbatore,Cotton(lint),Whole Year,16858.0,30610.0,1.82,1997
1997-98,Tamil Nadu,Coimbatore,Dry chillies,Whole Year,2350.0,1430.0,0.61,1997
1997-98,Tamil Nadu,Coimbatore,Gram,Whole Year,4481.0,3320.0,0.74,1997
1997-98,Tamil Nadu,Coimbatore,Groundnut,Whole Year,33861.0,43150.0,1.27,1997
1997-98,Tamil Nadu,Coimbatore,Horse-gram,Kharif,6849.0,3040.0,0.44,1997
1997-98,Tamil Nadu,Coimbatore,Jowar,Whole Year,89773.0,65140.0,0.73,1997
1997-98,Tamil Nadu,Coimbatore,Maize,Whole Year,15763.0,17720.0,1.12,1997
1997-98,Tamil Nadu,Coimbatore,Moong(Green Gram),Whole Year,4526.0,1480.0,0.33,1997
1997-98,Tamil Nadu,Coimbatore,Onion,Kharif,2813.0,37188.0,13.22,1997
1997-98,Tamil Nadu,Coimbatore,Onion,Whole Year,1680.0,20960.0,12.48,1997
1997-98,Tamil Nadu,Coimbatore,Ragi,Whole Year,401.0,800.0,2.0,1997
1997-98,Tamil Nadu,Coimbatore,Rice,Whole Year,18703.0,57670.0,3.08,1997
