year,district_name,district_code,block_name,block_code,village_name,village_code,nitrogen_status,phosphorus_status,potassium_status,organic_carbon_status,electrical_conductivity_status,soil_ph_status,zinc_status,boron_status,manganese_status,sulphur_status,copper_status,iron_status,boron_deficient,boron_sufficient,copper_deficient,copper_sufficient,electrical_conductivity_non_saline,electrical_conductivity_saline,iron_deficient,iron_sufficient,manganese_deficient,manganese_sufficient,nitrogen_high,nitrogen_low,nitrogen_medium,organic_carbon_high,organic_carbon_low,organic_carbon_medium,phosphorus_high,phosphorus_low,phosphorus_medium,potassium_high,potassium_low,potassium_medium,soil_ph_acidic,soil_ph_alkaline,soil_ph_neutral,sulphur_deficient,sulphur_sufficient,zinc_deficient,zinc_sufficient
2023-24,Ariyalur,610,Andimadam,6255,Authukurichi,636334,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,60,0,60,60,0,1,59,0,60,0,60,0,0,60,0,0,0,60,0,0,60,0,0,60,0,60,34,26
2023-24,Ariyalur,610,Andimadam,6255,Edaayankurichi,636341,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,120,0,120,120,0,3,117,4,116,0,120,0,0,120,0,0,0,120,0,0,120,0,0,120,0,120,75,45
2023-24,Ariyalur,610,Andimadam,6255,Elaiyur (East),636380,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,12,88,42,58
2023-24,Ariyalur,610,Andimadam,6255,Kattathur (North),636357,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,120,0,120,120,0,0,120,1,119,0,120,0,0,120,0,0,0,120,0,0,120,0,0,120,0,120,60,60
2023-24,Ariyalur,610,Andimadam,6255,Melur,636364,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,44,56
2023-24,Ariyalur,610,Andimadam,6255,Vilandai (North),636344,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,8,92,0,100,100,0,1,99,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,14,86,50,50
2023-24,Ariyalur,610,Ariyalur,6256,Andipattakkadu,636487,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,90,0,90,90,0,3,87,34,56,0,90,0,0,90,0,0,0,90,0,0,90,0,0,90,0,90,45,45
2023-24,Ariyalur,610,Ariyalur,6256,Govindapuram,636456,Low,Medium,Medium,Low,Non Saline,Neutral,Deficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,100,0,100,100,0,2,98,0,100,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,1,99,50,50
2023-24,Ariyalur,610,Ariyalur,6256,Illuppaiyur,636454,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,0,110,0,110,110,0,0,110,0,110,0,110,0,0,110,0,0,0,110,0,0,110,0,0,110,0,110,51,59
2023-24,Ariyalur,610,Ariyalur,6256,Kallankurichi,636457,Low,Medium,Medium,Low,Non Saline,Neutral,Sufficient,Sufficient,Deficient,Sufficient,Sufficient,Sufficient,3,97,0,100,100,0,1,99,81,19,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,8,92,46,54
