year,district_name,district_code,block_name,block_code,village_name,village_code,Nitrogen_Low,Nitrogen_Medium,Nitrogen_High,Nitrogen_sample_count,Nitrogen_status,Nitrogen_coverage,Nitrogen_status_support_pct,Phosphorus_Low,Phosphorus_Medium,Phosphorus_High,Phosphorus_sample_count,Phosphorus_status,Phosphorus_coverage,Phosphorus_status_support_pct,Potassium_Low,Potassium_Medium,Potassium_High,Potassium_sample_count,Potassium_status,Potassium_coverage,Potassium_status_support_pct,Organic Carbon_Low,Organic Carbon_Medium,Organic Carbon_High,Organic Carbon_sample_count,Organic Carbon_status,Organic Carbon_coverage,Organic Carbon_status_support_pct,Soil Ph_Acidic,Soil Ph_Neutral,Soil Ph_Alkaline,Soil Ph_sample_count,Soil Ph_status,Soil Ph_coverage,Soil Ph_status_support_pct,Electrical Conductivity_Non Saline,Electrical Conductivity_Saline,Electrical Conductivity_sample_count,Electrical Conductivity_status,Electrical Conductivity_coverage,Electrical Conductivity_status_support_pct,Zinc_Deficient,Zinc_Sufficient,Zinc_sample_count,Zinc_status,Zinc_coverage,Zinc_status_support_pct,Boron_Deficient,Boron_Sufficient,Boron_sample_count,Boron_status,Boron_coverage,Boron_status_support_pct,Manganese_Deficient,Manganese_Sufficient,Manganese_sample_count,Manganese_status,Manganese_coverage,Manganese_status_support_pct,Sulphur_Deficient,Sulphur_Sufficient,Sulphur_sample_count,Sulphur_status,Sulphur_coverage,Sulphur_status_support_pct,Copper_Deficient,Copper_Sufficient,Copper_sample_count,Copper_status,Copper_coverage,Copper_status_support_pct,Iron_Deficient,Iron_Sufficient,Iron_sample_count,Iron_status,Iron_coverage,Iron_status_support_pct,nutrients_available,overall_coverage_pct,overall_evidence_level
2024-25,Ariyalur,610,Andimadam,6255,Alagapuram,636338,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,1,9,0,10,Medium,Moderate,90.0,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Neutral,Moderate,100.0,10,0,10,Non Saline,Moderate,100.0,2,8,10,Sufficient,Moderate,80.0,0,10,10,Sufficient,Moderate,100.0,0,11,11,Sufficient,Good,100.0,0,10,10,Sufficient,Moderate,100.0,0,11,11,Sufficient,Good,100.0,0,10,10,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Andimadam,636343,20,0,0,20,Low,Good,100.0,0,20,0,20,Medium,Good,100.0,0,20,0,20,Medium,Good,100.0,20,0,0,20,Low,Good,100.0,0,18,0,18,Neutral,Good,100.0,18,0,18,Non Saline,Good,100.0,6,14,20,Sufficient,Good,70.0,0,20,20,Sufficient,Good,100.0,0,20,20,Sufficient,Good,100.0,0,20,20,Sufficient,Good,100.0,0,20,20,Sufficient,Good,100.0,0,20,20,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Anikudichan (North),636353,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Neutral,Moderate,100.0,10,0,10,Non Saline,Moderate,100.0,5,5,10,Deficient|Sufficient,Moderate,50.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Anikudichan (South),636354,6,0,0,6,Low,Moderate,100.0,0,6,0,6,Medium,Moderate,100.0,0,6,0,6,Medium,Moderate,100.0,6,0,0,6,Low,Moderate,100.0,0,6,0,6,Neutral,Moderate,100.0,6,0,6,Non Saline,Moderate,100.0,3,3,6,Deficient|Sufficient,Moderate,50.0,0,6,6,Sufficient,Moderate,100.0,0,6,6,Sufficient,Moderate,100.0,0,6,6,Sufficient,Moderate,100.0,0,6,6,Sufficient,Moderate,100.0,0,6,6,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Authukurichi,636334,18,0,0,18,Low,Good,100.0,0,17,1,18,Medium,Good,94.44,0,18,0,18,Medium,Good,100.0,18,0,0,18,Low,Good,100.0,0,15,0,15,Neutral,Good,100.0,18,0,18,Non Saline,Good,100.0,5,13,18,Sufficient,Good,72.22,0,18,18,Sufficient,Good,100.0,0,18,18,Sufficient,Good,100.0,0,18,18,Sufficient,Good,100.0,0,18,18,Sufficient,Good,100.0,0,18,18,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Ayyur,636342,12,0,0,12,Low,Good,100.0,0,12,0,12,Medium,Good,100.0,0,12,0,12,Medium,Good,100.0,12,0,0,12,Low,Good,100.0,0,10,0,10,Neutral,Moderate,100.0,10,0,10,Non Saline,Moderate,100.0,3,9,12,Sufficient,Good,75.0,0,12,12,Sufficient,Good,100.0,1,11,12,Sufficient,Good,91.67,0,12,12,Sufficient,Good,100.0,0,12,12,Sufficient,Good,100.0,0,12,12,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Devanur,636363,116,0,0,116,Low,High,100.0,1,115,1,117,Medium,High,98.29,2,115,0,117,Medium,High,98.29,116,0,0,116,Low,High,100.0,0,113,0,113,Neutral,High,100.0,116,0,116,Non Saline,High,100.0,40,77,117,Sufficient,High,65.81,11,105,116,Sufficient,High,90.52,0,117,117,Sufficient,High,100.0,29,88,117,Sufficient,High,75.21,0,115,115,Sufficient,High,100.0,0,117,117,Sufficient,High,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Edaayankurichi,636341,6,0,0,6,Low,Moderate,100.0,0,9,0,9,Medium,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,6,0,0,6,Low,Moderate,100.0,0,5,0,5,Neutral,Low,100.0,5,0,5,Non Saline,Low,100.0,4,6,10,Sufficient,Moderate,60.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Elaiyur (East),636380,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Neutral,Moderate,100.0,10,0,10,Non Saline,Moderate,100.0,3,7,10,Sufficient,Moderate,70.0,1,9,10,Sufficient,Moderate,90.0,1,9,10,Sufficient,Moderate,90.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Elaiyur (West),636379,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,10,0,0,10,Low,Moderate,100.0,0,9,0,9,Neutral,Moderate,100.0,10,0,10,Non Saline,Moderate,100.0,6,4,10,Deficient,Moderate,60.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Kattathur (North),636357,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,10,0,0,10,Low,Moderate,100.0,0,9,0,9,Neutral,Moderate,100.0,10,0,10,Non Saline,Moderate,100.0,2,8,10,Sufficient,Moderate,80.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Kattathur (South),636358,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,10,0,0,10,Low,Moderate,100.0,0,8,0,8,Neutral,Moderate,100.0,10,0,10,Non Saline,Moderate,100.0,1,9,10,Sufficient,Moderate,90.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,0,10,10,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Kodukkur,636360,8,0,0,8,Low,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,8,0,0,8,Low,Moderate,100.0,0,8,0,8,Neutral,Moderate,100.0,8,0,8,Non Saline,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Koovathur (North),636355,13,0,0,13,Low,Good,100.0,0,13,0,13,Medium,Good,100.0,0,13,0,13,Medium,Good,100.0,13,0,0,13,Low,Good,100.0,0,13,0,13,Neutral,Good,100.0,13,0,13,Non Saline,Good,100.0,2,11,13,Sufficient,Good,84.62,1,12,13,Sufficient,Good,92.31,0,13,13,Sufficient,Good,100.0,0,13,13,Sufficient,Good,100.0,0,13,13,Sufficient,Good,100.0,0,13,13,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Koovathur (South),636356,8,0,0,8,Low,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,8,0,0,8,Low,Moderate,100.0,0,8,0,8,Neutral,Moderate,100.0,8,0,8,Non Saline,Moderate,100.0,2,6,8,Sufficient,Moderate,75.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Marudur,636361,123,0,0,123,Low,High,100.0,0,122,1,123,Medium,High,99.19,6,117,0,123,Medium,High,95.12,123,0,0,123,Low,High,100.0,0,118,0,118,Neutral,High,100.0,122,0,122,Non Saline,High,100.0,103,20,123,Deficient,High,83.74,74,48,122,Deficient,High,60.66,11,112,123,Sufficient,High,91.06,1,122,123,Sufficient,High,99.19,0,121,121,Sufficient,High,100.0,5,118,123,Sufficient,High,95.93,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Kuvagam,636359,131,0,0,131,Low,High,100.0,0,130,1,131,Medium,High,99.24,0,131,0,131,Medium,High,100.0,129,0,0,129,Low,High,100.0,0,123,0,123,Neutral,High,100.0,126,0,126,Non Saline,High,100.0,40,91,131,Sufficient,High,69.47,0,131,131,Sufficient,High,100.0,0,131,131,Sufficient,High,100.0,1,130,131,Sufficient,High,99.24,0,130,130,Sufficient,High,100.0,0,131,131,Sufficient,High,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Melur,636364,10,0,0,10,Low,Moderate,100.0,0,10,0,10,Medium,Moderate,100.0,1,9,0,10,Medium,Moderate,90.0,10,0,0,10,Low,Moderate,100.0,0,7,0,7,Neutral,Moderate,100.0,8,0,8,Non Saline,Moderate,100.0,5,5,10,Deficient|Sufficient,Moderate,50.0,0,10,10,Sufficient,Moderate,100.0,0,9,9,Sufficient,Moderate,100.0,1,9,10,Sufficient,Moderate,90.0,0,9,9,Sufficient,Moderate,100.0,1,9,10,Sufficient,Moderate,90.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Olaiyur,636333,15,0,0,15,Low,Good,100.0,0,15,0,15,Medium,Good,100.0,1,14,0,15,Medium,Good,93.33,15,0,0,15,Low,Good,100.0,0,15,0,15,Neutral,Good,100.0,15,0,15,Non Saline,Good,100.0,4,11,15,Sufficient,Good,73.33,3,12,15,Sufficient,Good,80.0,0,15,15,Sufficient,Good,100.0,0,15,15,Sufficient,Good,100.0,0,15,15,Sufficient,Good,100.0,0,15,15,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Periakrishnapuram,636346,22,0,0,22,Low,Good,100.0,1,20,1,22,Medium,Good,90.91,0,22,0,22,Medium,Good,100.0,22,0,0,22,Low,Good,100.0,0,19,0,19,Neutral,Good,100.0,21,0,21,Non Saline,Good,100.0,11,11,22,Deficient|Sufficient,Good,50.0,0,22,22,Sufficient,Good,100.0,0,22,22,Sufficient,Good,100.0,0,22,22,Sufficient,Good,100.0,0,22,22,Sufficient,Good,100.0,0,22,22,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Rangiyam,636336,103,0,0,103,Low,High,100.0,0,103,0,103,Medium,High,100.0,0,103,0,103,Medium,High,100.0,103,0,0,103,Low,High,100.0,0,103,0,103,Neutral,High,100.0,103,0,103,Non Saline,High,100.0,83,20,103,Deficient,High,80.58,46,57,103,Sufficient,High,55.34,0,103,103,Sufficient,High,100.0,9,94,103,Sufficient,High,91.26,0,98,98,Sufficient,High,100.0,1,102,103,Sufficient,High,99.03,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Silumbur (North),636339,8,0,0,8,Low,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,8,0,0,8,Low,Moderate,100.0,0,6,0,6,Neutral,Moderate,100.0,6,0,6,Non Saline,Moderate,100.0,2,6,8,Sufficient,Moderate,75.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Silumbur (South),636340,15,0,0,15,Low,Good,100.0,0,15,0,15,Medium,Good,100.0,0,15,0,15,Medium,Good,100.0,13,0,0,13,Low,Good,100.0,0,8,0,8,Neutral,Moderate,100.0,11,0,11,Non Saline,Good,100.0,3,12,15,Sufficient,Good,80.0,0,15,15,Sufficient,Good,100.0,0,15,15,Sufficient,Good,100.0,1,14,15,Sufficient,Good,93.33,0,15,15,Sufficient,Good,100.0,0,15,15,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Siluvaicheri,636337,12,0,0,12,Low,Good,100.0,0,12,0,12,Medium,Good,100.0,0,12,0,12,Medium,Good,100.0,12,0,0,12,Low,Good,100.0,0,12,0,12,Neutral,Good,100.0,12,0,12,Non Saline,Good,100.0,4,8,12,Sufficient,Good,66.67,0,12,12,Sufficient,Good,100.0,0,12,12,Sufficient,Good,100.0,0,12,12,Sufficient,Good,100.0,0,12,12,Sufficient,Good,100.0,0,12,12,Sufficient,Good,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Sriraman,636335,117,0,0,117,Low,High,100.0,1,116,0,117,Medium,High,99.15,1,116,0,117,Medium,High,99.15,116,0,1,117,Low,High,99.15,0,117,0,117,Neutral,High,100.0,117,0,117,Non Saline,High,100.0,59,58,117,Deficient,High,50.43,1,116,117,Sufficient,High,99.15,0,117,117,Sufficient,High,100.0,3,114,117,Sufficient,High,97.44,0,113,113,Sufficient,High,100.0,0,117,117,Sufficient,High,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Thirukalappur,636347,109,0,0,109,Low,High,100.0,1,108,0,109,Medium,High,99.08,0,109,0,109,Medium,High,100.0,109,0,0,109,Low,High,100.0,0,109,0,109,Neutral,High,100.0,109,0,109,Non Saline,High,100.0,60,49,109,Deficient,High,55.05,0,109,109,Sufficient,High,100.0,0,109,109,Sufficient,High,100.0,6,103,109,Sufficient,High,94.5,0,106,106,Sufficient,High,100.0,0,109,109,Sufficient,High,100.0,12,100.0,High
2024-25,Ariyalur,610,Andimadam,6255,Varadarajanpettai,931845,8,0,0,8,Low,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,0,8,0,8,Medium,Moderate,100.0,8,0,0,8,Low,Moderate,100.0,0,8,0,8,Neutral,Moderate,100.0,8,0,8,Non Saline,Moderate,100.0,2,6,8,Sufficient,Moderate,75.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,0,8,8,Sufficient,Moderate,100.0,12,100.0,High
