district,samples,actual_mean,actual_min,actual_max,predicted_mean,MAE,bias
Chennai,1,17105.26,17105.26,17105.26,3862.682992204429,13242.57700779557,-13242.57700779557
Madurai,2,18917.37,13415.69,24419.05,11114.342093156623,7803.0279068433765,-7803.027906843376
The Nilgiris,2,9655.939999999999,7547.17,11764.71,2288.4292111493623,7367.510788850637,-7367.510788850636
Dindigul,2,14586.365000000002,14147.95,15024.78,7532.588640804199,7053.776359195801,-7053.776359195803
Sivaganga,2,16638.635,11750.35,21526.92,9588.1821467442,7050.4528532558,-7050.452853255798
Tiruchirappalli,2,14012.37,10532.66,17492.08,7661.422521332786,6350.947478667214,-6350.947478667214
Villupuram,2,13171.779999999999,12543.35,13800.21,8004.456015924397,5167.323984075603,-5167.323984075601
Thiruvallur,2,12113.9,7001.52,17226.28,9302.570526565993,5139.868945481939,-2811.329473434007
Namakkal,2,14481.59,14151.69,14811.49,9372.77309008536,5108.81690991464,-5108.81690991464
Tiruvannamalai,2,13044.650000000001,11778.03,14311.27,7976.638382117402,5068.011617882598,-5068.011617882599
Ranipet,2,13372.564999999999,12693.16,14051.97,8472.636925201883,4899.9280747981165,-4899.928074798116
Dharmapuri,2,12397.23,11559.73,13234.73,7537.550415906774,4859.6795840932255,-4859.6795840932255
Mayiladuthurai,2,13173.654999999999,11703.51,14643.8,8437.19734446091,4736.457655539089,-4736.457655539089
Tiruppur,2,11540.435,9749.99,13330.88,6850.941527737135,4689.493472262864,-4689.493472262864
Coimbatore,2,14543.935000000001,13564.34,15523.53,10132.210887840602,4411.724112159399,-4411.7241121594
Salem,2,14293.79,14254.91,14332.67,9904.722374832872,4389.067625167127,-4389.067625167128
Chengalpattu,2,4308.875,4203.01,4414.74,8678.28396671527,4369.40896671527,4369.408966715269
Kallakurichi,2,13426.400000000001,11677.93,15174.87,9072.050627771823,4354.349372228176,-4354.349372228178
Kanniyakumari,2,6945.955,6371.58,7520.33,10915.398395266311,3969.443395266312,3969.443395266311
Karur,2,10721.244999999999,9740.08,11702.41,7018.345792075756,3702.8992079242435,-3702.8992079242425
Thanjavur,2,16142.56,12485.05,19800.07,15006.039593990105,3657.51,-1136.520406009895
Vellore,2,13033.215,12635.71,13430.72,9861.077208425111,3172.137791574888,-3172.137791574889
Erode,2,13582.07,12486.96,14677.18,10416.041625679505,3166.0283743204945,-3166.0283743204945
Thiruvarur,2,11255.925,8052.78,14459.07,13057.438400839685,3159.3003524757746,1801.5134008396853
Tirupathur,2,13188.494999999999,10498.96,15878.03,11037.683684072359,2722.2899143116183,-2150.81131592764
Pudukkottai,2,12978.77,11167.39,14790.15,10632.60411899109,2346.16588100891,-2346.16588100891
Cuddalore,2,10157.145,8976.56,11337.73,12432.530566221652,2275.385566221653,2275.385566221652
Perambalur,2,6777.845,4566.93,8988.76,5568.573658993326,2203.6212495837153,-1209.2713410066744
Theni,2,14380.385,13460.18,15300.59,12555.619537129638,1824.7654628703613,-1824.7654628703622
Virudhunagar,2,12250.245,10492.29,14008.2,12674.939005554366,1787.463129294565,424.6940055543655
Thoothukudi,2,7301.325,6697.7,7904.95,8918.022376973466,1616.697376973466,1616.697376973466
Ariyalur,2,11689.58,10802.47,12576.69,10108.488511380898,1581.0914886191022,-1581.0914886191022
Ramanathapuram,2,7607.92,6096.21,9119.63,7185.566241970144,1511.7099999999998,-422.3537580298562
Kanchipuram,2,7396.845,6390.33,8403.36,5904.996518646103,1491.8484813538976,-1491.8484813538971
Nagapattinam,2,7780.15,6486.29,9074.01,8694.250443806583,1293.8600000000001,914.1004438065829
Thenkasi,2,9889.494999999999,8875.25,10903.74,10732.959789746274,1010.8612643331408,843.4647897462746
Tirunelveli,2,8956.775,8719.49,9194.06,8201.565174696929,755.2098253030713,-755.2098253030708
Krishnagiri,2,13441.92,12762.02,14121.82,12741.279201217942,700.6407987820584,-700.6407987820585
