crop,samples,global_MAE,global_RMSE,global_R2,crop_aware_MAE,crop_aware_RMSE,crop_aware_R2,MAE_change,RMSE_change
Coconut,75,3823.735033899894,4752.650097769044,-0.5934587933614524,3200.77736197998,4043.4892514415064,-0.15340476147386561,-622.957671919914,-709.1608463275375
Ginger,27,12.30091743875049,13.540837435158174,-3.630778338530267,9.677972366458157,11.093014093577374,-2.107864489606566,-2.6229450722923335,-2.4478233415808006
Potato,19,6.062106011482847,6.606711207492052,-2.124352413754214,3.784027490079752,4.4993137078316385,-0.4490451490860432,-2.2780785214030947,-2.1073974996604132
Banana,76,6.407702503743149,8.652044884043876,0.16843258036365938,5.72355813574662,8.247313850820955,0.24441212193900197,-0.6841443679965291,-0.40473103322292125
Maize,133,1.5016478824546757,1.7450238573775627,-0.7404519906395495,1.0519272389833143,1.3360914315033428,-0.020308883548070478,-0.4497206434713614,-0.40893242587421996
Garlic,12,1.609963731148796,1.8038868557886831,-0.2404857603022903,1.3539623398070042,1.661348726480913,-0.05219152886635414,-0.2560013913417918,-0.1425381293077701
Tapioca,68,4.605778327204029,6.374676217415024,-0.209039574911964,4.434737349980705,6.068405632626295,-0.09565407991455244,-0.17104097722332412,-0.30627058478872904
Turmeric,66,1.5206418816545357,1.6731400823284548,-2.4596147837037994,1.3880848624349038,1.5473924614209478,-1.959130312873659,-0.13255701921963192,-0.12574762090750702
Onion,123,1.4043624493820175,2.0323581196288494,0.3711535548659557,1.328397628655083,1.9258593036523988,0.43533190702099656,-0.07596482072693456,-0.10649881597645061
Other Rabi pulses,26,0.23596470638226133,0.27261249327558856,-3.575138271090867,0.1655628929034865,0.21081411622305574,-1.7359747851578975,-0.07040181347877483,-0.06179837705253283
Rapeseed and Mustard,5,0.1734443829687763,0.18984774339720742,-9.35694415891147,0.10743283766791094,0.11520534889554176,-2.8138713833745714,-0.06601154530086535,-0.07464239450166565
Bajra,106,0.39148055444990226,0.5313141616822223,0.06029835188792365,0.32743143822504484,0.4729039098772767,0.2555543194501976,-0.06404911622485743,-0.058410251804945634
Tobacco,20,0.25551308576953735,0.31118954915375097,-0.5891191647763498,0.20923970154202096,0.27171261484505627,-0.21150737528974384,-0.046273384227516395,-0.0394769343086947
Cowpea(Lobia),109,0.21517697633207244,0.2698196922684335,-1.2897956600199851,0.16939478082517298,0.21042274622963048,-0.39262700078852797,-0.045782195506899465,-0.05939694603880302
Black pepper,34,0.11435998434733052,0.19411255495220492,-16.336403857721045,0.07383431654093923,0.16370338218849162,-11.330113323376622,-0.04052566780639129,-0.0304091727637133
Other Kharif pulses,67,0.22947686316837168,0.3132102420508178,-6.867162178781566,0.18997252466851094,0.28322445315905526,-5.4329131292061055,-0.039504338499860736,-0.029985788891762566
Cotton(lint),126,0.5354914978075163,0.8844074931744853,-0.16650798080736684,0.49817437467247155,0.8308865199510064,-0.02959473662730283,-0.037317123135044705,-0.05352097322347893
Groundnut,141,0.558621518654889,0.7230848280675991,0.5335478888511391,0.5226763581735188,0.6738368659657451,0.5949225193619212,-0.0359451604813702,-0.049247962101854004
Cardamom,21,0.09793410954080388,0.11823500790810822,-39.084311046218524,0.0627265672549408,0.09123074878059946,-22.865181012180507,-0.03520754228586308,-0.027004259127508756
Coriander,46,0.1629056150489603,0.19904219027805262,-1.5831746742533284,0.1295823106227015,0.1748211166840414,-0.9927428981965949,-0.033323304426258804,-0.02422107359401121
Arhar(Tur),104,0.2038283826453862,0.26599796317831637,-0.8230872541381873,0.17463743597377177,0.2393554992236117,-0.4761743417185105,-0.029190946671614426,-0.026642463954704654
Ragi,114,0.560395867325399,0.7709281924724973,0.25455841722699235,0.5312158116686642,0.7234015842894898,0.34363612465519844,-0.02918005565673487,-0.04752660818300758
Dry chillies,71,0.22960044807286276,0.3538086788833877,0.1436868553959063,0.21184153711464734,0.3480977488786677,0.17110775531260314,-0.017758910958215413,-0.005710930004720005
Castor seed,46,0.05231960359435211,0.07205576683154895,-0.3047758289417315,0.03543963211096292,0.05974769748783944,0.10290019793254723,-0.01687997148338919,-0.01230806934370951
Moong(Green Gram),125,0.15398387026273797,0.17793892136665976,0.5195786622425064,0.15173713494275523,0.1761206265035079,0.5293470075463415,-0.0022467353199827345,-0.0018182948631518536
Other Cereals,57,0.22548761611202903,0.3156523591405871,-0.6288716905623382,0.22453297483306148,0.3147319504096287,-0.6193863064814005,-0.0009546412789675496,-0.0009204087309583886
Sunflower,75,0.18864477240887187,0.27165413102463937,0.6447454943624483,0.1886194508932218,0.2716045158928279,0.6448752504566695,-2.5321515650073012e-05,-4.9615131811453494e-05
Small millets,87,0.3423544414096334,0.41524881609346254,0.17847559715384587,0.34814329190044124,0.4152057278788249,0.17864607895605056,0.005788850490807851,-4.308821463760992e-05
Urad,142,0.08899818116711077,0.13610140391071948,0.4463100570583818,0.0971943879170706,0.14024779588425365,0.4120593144905419,0.008196206749959828,0.004146391973534169
