crop,samples,MAE,RMSE,R2,mean_actual_yield,mean_predicted_yield,mean_percentage_error
Coconut,75.0,3823.7350338998917,4752.650097769041,-0.5934587933614506,11938.932799999999,9267.246881070056,32.031340233103386
Sweet potato,45.0,22.494002534111118,47.81924563763411,-0.10795590787079368,36.79222222222222,21.39278716877121,51.87295105707972
Sugarcane,70.0,18.25982001649099,23.04918628246457,-0.4327125929956377,105.1377142857143,91.95436610644639,25.79450883355519
Ginger,27.0,12.300917438750492,13.540837435158174,-3.630778338530267,25.51962962962963,13.484603077331487,46.23270692014762
Banana,76.0,6.40770250374315,8.652044884043875,0.1684325803636597,39.088815789473685,36.45269730568292,17.712966190098914
Potato,19.0,6.062106011482844,6.606711207492051,-2.1243524137542127,22.63052631578947,16.568420304306628,26.25518216727937
Tapioca,68.0,4.605778327204028,6.374676217415024,-0.209039574911964,34.49573529411765,32.54327212213545,13.507522546888726
Garlic,12.0,1.6099637311487955,1.8038868557886831,-0.24048576030229007,5.023333333333333,4.215547589801632,52.53622375572373
Turmeric,66.0,1.5206418816545355,1.6731400823284548,-2.459614783703799,5.372575757575758,4.015806102655711,27.90357655608348
Maize,133.0,1.5016478824546755,1.7450238573775627,-0.7404519906395495,7.088571428571429,5.706916756896217,20.270386114296354
Onion,123.0,1.4043624493820182,2.0323581196288503,0.37115355486595525,8.146829268292684,7.468861559145174,21.409804645358236
Arecanut,50.0,0.7588184666873116,0.9364118219848074,-0.14646379377900964,1.505,1.8736124717097373,144.54918074272595
Ragi,114.0,0.5603958673253993,0.7709281924724974,0.25455841722699224,3.4769298245614038,3.1264099270528933,16.406485431394113
Groundnut,141.0,0.558621518654889,0.723084828067599,0.5335478888511391,2.9321276595744683,2.573706114882861,21.056842778806356
Cotton(lint),126.0,0.5354914978075164,0.8844074931744853,-0.16650798080736684,2.056746031746032,1.6789297292465835,23.536988206035858
Bajra,106.0,0.3914805544499024,0.5313141616822223,0.060298351887923984,2.4779245283018865,2.172619630700208,16.970897558284012
Jowar,113.0,0.3703007807182322,0.4224553205115302,0.11829650743673081,0.9713274336283186,1.2559482927051597,53.17313737437372
Rice,214.0,0.3481606644265382,0.4840668898530421,0.1932641144207068,3.855700934579439,4.039262455445008,10.231765039129867
Small millets,87.0,0.3423544414096334,0.4152488160934626,0.17847559715384564,1.37367816091954,1.3316683325257055,33.11435670160933
Tobacco,20.0,0.25551308576953735,0.3111895491537509,-0.5891191647763494,1.4675,1.6547785583406505,19.564345080813062
Other Rabi pulses,26.0,0.23596470638226133,0.27261249327558856,-3.575138271090867,0.6084615384615384,0.8361597667750803,42.399799869632794
Dry chillies,71.0,0.2296004480728628,0.35380867888338774,0.1436868553959061,0.5952112676056336,0.6744722910599402,39.77914547829921
Other Kharif pulses,67.0,0.22947686316837168,0.3132102420508179,-6.867162178781569,0.5953731343283583,0.8107608524567518,40.90811345282151
Other Cereals,57.0,0.2254876161120289,0.31565235914058704,-0.6288716905623379,1.303157894736842,1.344364431000544,27.777168982752574
Cowpea(Lobia),109.0,0.21517697633207244,0.2698196922684335,-1.2897956600199851,0.6689908256880731,0.8720286920994569,43.12686113091502
Arhar(Tur),104.0,0.20382838264538616,0.2659979631783163,-0.8230872541381866,0.9702884615384615,1.1257977489191835,25.793427253234125
Sunflower,75.0,0.18864477240887184,0.27165413102463937,0.6447454943624483,1.2863999999999998,1.2082529614827955,18.642498873924307
Rapeseed and Mustard,5.0,0.17344438296877623,0.18984774339720736,-9.356944158911466,0.23000000000000004,0.40344438296877627,87.84524081601326
Cashewnut,68.0,0.16479826192252336,0.3615201971052426,0.030816147339289057,0.4027941176470588,0.3272851037798682,72.23554138612222
Coriander,46.0,0.16290561504896034,0.19904219027805264,-1.5831746742533288,0.3860869565217392,0.5113920416854068,51.464406006881134
Moong(Green Gram),125.0,0.1539838702627379,0.17793892136665973,0.5195786622425065,0.5593599999999999,0.5867414898563367,38.15183933485532
Sesamum,133.0,0.11908564016767599,0.16767521066477592,-0.10860960257563113,0.5686466165413534,0.5268976025887409,24.075345833516007
Black pepper,34.0,0.11435998434733048,0.19411255495220495,-16.33640385772105,0.21970588235294117,0.3340658667002717,58.158483580061564
Horse-gram,85.0,0.10813791732366622,0.1319901475655733,0.31493716926221405,0.767529411764706,0.7124880907502696,14.159898877535243
Cardamom,21.0,0.09793410954080387,0.11823500790810822,-39.084311046218524,0.09476190476190478,0.1926960143027086,99.78774444017643
Urad,142.0,0.08899818116711077,0.1361014039107195,0.44631005705838167,0.7326760563380281,0.7223662883996498,26.98850589465563
Gram,20.0,0.07760671437950419,0.08348637161355842,-5.16811880105945,0.95,0.8733409492629306,8.157802051070881
Castor seed,46.0,0.05231960359435209,0.07205576683154893,-0.30477582894173105,0.3289130434782609,0.3761140438844356,16.420841654700393
