crop,mean_shap_importance,samples
Coconut,1825.0849889893025,6
Sugarcane,19.272068070982492,1
Banana,6.697737490859582,1
Tapioca,5.615374467278152,3
Ginger,1.7688384901950802,2
Onion,1.1334017882184855,7
Black pepper,1.0824327292134703,1
Rapeseed and Mustard,1.0773281452457193,1
Castor seed,1.0591610524883888,1
Coriander,1.0558764393367839,2
Cashewnut,1.0514435242487383,3
Sesamum,1.0434696623211654,4
Horse-gram,1.026769346046637,1
Moong(Green Gram),1.0254344180958401,3
Dry chillies,1.019361312850879,2
Urad,1.010711394424615,6
Arecanut,0.9997035575960537,2
Cowpea(Lobia),0.9719737840746192,3
Tobacco,0.9617573656684956,1
Sunflower,0.9573916741136297,2
Arhar(Tur),0.9480063900059393,2
Small millets,0.9163475463170762,9
Other Cereals,0.915284085077489,2
Jowar,0.9149350247561269,4
Bajra,0.8142052310183512,2
Cotton(lint),0.7831315199419949,4
Turmeric,0.7718595212927908,2
Garlic,0.7561036378742888,1
Groundnut,0.7117942710606279,6
Maize,0.6893661584347961,5
Ragi,0.6031028365167799,6
Rice,0.4219111305015167,5
