district,samples,MAE,RMSE,R2
Chennai,13.0,1019.5477498514235,3672.830513603761,0.35010732141074696
The Nilgiris,37.0,400.2927297836113,1781.6991880184455,0.36475849570752505
Kanniyakumari,30.0,269.27283293068405,1032.767238919711,0.646455728227777
Mayiladuthurai,49.0,194.68456586190345,1001.1338787002499,0.8541593385191435
Sivaganga,82.0,173.15948063174997,1344.0603955562756,0.7478887303472097
Madurai,99.0,158.68984397507663,1357.0329602028783,0.7605553160535159
Thiruvallur,73.0,143.47140725071412,969.7839286704336,0.7964582507068059
Chengalpattu,64.0,137.60135841799604,772.4980808969622,-0.06442977663477678
Tiruchirappalli,95.0,135.23018998850688,1055.2599635818297,0.7409068639005753
Ranipet,74.0,133.73808458555666,812.3925518046112,0.8598706509568352
Villupuram,79.0,132.37207340644727,828.1859135632768,0.8399894459192221
Dindigul,109.0,131.80167491939292,957.5220148898683,0.7607561858406219
Kallakurichi,71.0,123.90240770294189,794.0701641595227,0.8742776060409707
Thiruvarur,54.0,119.21860468688409,699.9542410251489,0.8998208856635495
Dharmapuri,84.0,117.29660618997613,764.3804375075466,0.8370233101641649
Tiruvannamalai,95.0,107.84547866160266,759.0272487446512,0.8371485482563904
Tiruppur,89.0,107.09803959571414,749.9237981112532,0.8121836249684876
Thanjavur,71.0,104.8546145806556,642.8343601280412,0.9449256033859953
Namakkal,100.0,104.03050506776096,724.6195757881968,0.8722114594872126
Coimbatore,94.0,95.37387471713517,659.2040866606502,0.9017137101511121
Karur,86.0,87.5797952534926,584.7028972505713,0.8700291544669668
Vellore,75.0,86.1541596934716,525.8814041625582,0.9372658838978798
Salem,105.0,84.81201864797963,605.7920814965685,0.9037922230121699
Nagapattinam,35.0,74.68824947896942,378.6996943930657,0.9572081265829336
Tirupathur,84.0,66.16216479766724,535.3553967501218,0.9319438670435746
Erode,103.0,63.87280757271182,465.40749557702156,0.938672724747762
Kanchipuram,49.0,63.2105210283998,372.8065586952235,0.9362017538436151
Cuddalore,79.0,58.91728780333652,362.19613663181616,0.9491038403853375
Perambalur,84.0,53.48261755791524,387.8704453145366,0.8727646013814944
Pudukkottai,92.0,52.41506384850282,437.0489468054523,0.947667969125756
Ramanathapuram,60.0,51.31276170257924,286.5783331264983,0.9576300674776771
Thoothukudi,78.0,46.34202420279093,273.6167233463021,0.944071331320599
Ariyalur,81.0,39.80516439985794,284.8851496079501,0.9754557065096138
Virudhunagar,94.0,39.29406223921089,268.07068174146394,0.9774571375484226
Theni,97.0,38.478264060484186,293.7107186695314,0.9794115488744188
Thenkasi,86.0,24.60886759997142,200.79182872813217,0.9820243684499828
Tirunelveli,77.0,21.061007985959783,123.39322723610826,0.9924922611288037
Krishnagiri,92.0,16.655885434281398,143.99159106259148,0.9946126147494727
