sample_index,year,district,crop,season,area,actual_yield,predicted_yield,feature,shap_value,absolute_shap,impact,rank
20,2021,Ariyalur,Moong(Green Gram),Rabi,4.0,0.25,0.5431907019573958,crop,-3.2859390476498227,3.2859390476498227,decreases prediction,1
20,2021,Ariyalur,Moong(Green Gram),Rabi,4.0,0.25,0.5431907019573958,season,-1.6411931203004022,1.6411931203004022,decreases prediction,2
20,2021,Ariyalur,Moong(Green Gram),Rabi,4.0,0.25,0.5431907019573958,area,-0.07803735955169841,0.07803735955169841,decreases prediction,3
20,2021,Ariyalur,Moong(Green Gram),Rabi,4.0,0.25,0.5431907019573958,year,0.060916922139821916,0.060916922139821916,increases prediction,4
20,2021,Ariyalur,Moong(Green Gram),Rabi,4.0,0.25,0.5431907019573958,district,0.0531873770330078,0.0531873770330078,increases prediction,5
66,2021,Chengalpattu,Small millets,Kharif,11.0,1.73,1.2873764405737282,crop,-2.6982440516728836,2.6982440516728836,decreases prediction,1
66,2021,Chengalpattu,Small millets,Kharif,11.0,1.73,1.2873764405737282,season,-1.606565150597429,1.606565150597429,decreases prediction,2
66,2021,Chengalpattu,Small millets,Kharif,11.0,1.73,1.2873764405737282,year,0.14746593349638865,0.14746593349638865,increases prediction,3
66,2021,Chengalpattu,Small millets,Kharif,11.0,1.73,1.2873764405737282,district,0.03548911506828687,0.03548911506828687,increases prediction,4
66,2021,Chengalpattu,Small millets,Kharif,11.0,1.73,1.2873764405737282,area,-0.025025336007123755,0.025025336007123755,decreases prediction,5
88,2021,Coimbatore,Cowpea(Lobia),Kharif,819.0,0.41,0.8138390645083009,crop,-2.903056865351866,2.903056865351866,decreases prediction,1
88,2021,Coimbatore,Cowpea(Lobia),Kharif,819.0,0.41,0.8138390645083009,season,-1.7705931072117127,1.7705931072117127,decreases prediction,2
88,2021,Coimbatore,Cowpea(Lobia),Kharif,819.0,0.41,0.8138390645083009,district,0.12362855116740623,0.12362855116740623,increases prediction,3
88,2021,Coimbatore,Cowpea(Lobia),Kharif,819.0,0.41,0.8138390645083009,area,-0.11195469982603555,0.11195469982603555,decreases prediction,4
88,2021,Coimbatore,Cowpea(Lobia),Kharif,819.0,0.41,0.8138390645083009,year,0.04155925544401917,0.04155925544401917,increases prediction,5
100,2021,Coimbatore,Maize,Kharif,1082.0,8.05,6.512567536713944,season,-1.2031488323319415,1.2031488323319415,decreases prediction,1
100,2021,Coimbatore,Maize,Kharif,1082.0,8.05,6.512567536713944,crop,1.048361659975595,1.048361659975595,increases prediction,2
100,2021,Coimbatore,Maize,Kharif,1082.0,8.05,6.512567536713944,year,0.8959364711230379,0.8959364711230379,increases prediction,3
100,2021,Coimbatore,Maize,Kharif,1082.0,8.05,6.512567536713944,district,0.2816130523657523,0.2816130523657523,increases prediction,4
100,2021,Coimbatore,Maize,Kharif,1082.0,8.05,6.512567536713944,area,0.05554925529501076,0.05554925529501076,increases prediction,5
106,2021,Coimbatore,Other Cereals,Rabi,5.0,0.2,1.3445438273417576,crop,-2.470496918844535,2.470496918844535,decreases prediction,1
106,2021,Coimbatore,Other Cereals,Rabi,5.0,0.2,1.3445438273417576,season,-1.7737615104448659,1.7737615104448659,decreases prediction,2
106,2021,Coimbatore,Other Cereals,Rabi,5.0,0.2,1.3445438273417576,year,0.18607668131578692,0.18607668131578692,increases prediction,3
106,2021,Coimbatore,Other Cereals,Rabi,5.0,0.2,1.3445438273417576,area,-0.13087615901951494,0.13087615901951494,decreases prediction,4
106,2021,Coimbatore,Other Cereals,Rabi,5.0,0.2,1.3445438273417576,district,0.09934580404839632,0.09934580404839632,increases prediction,5
168,2021,Dharmapuri,Coconut,Whole Year,5424.0,11559.73,7659.771237347872,crop,5155.706825521324,5155.706825521324,increases prediction,1
168,2021,Dharmapuri,Coconut,Whole Year,5424.0,11559.73,7659.771237347872,season,2426.444217035447,2426.444217035447,increases prediction,2
168,2021,Dharmapuri,Coconut,Whole Year,5424.0,11559.73,7659.771237347872,area,401.9881608632029,401.9881608632029,increases prediction,3
