year,district_name,block_name,village_name,Boron,Copper,Electrical Conductivity,Iron,Manganese,Nitrogen,Organic Carbon,Phosphorus,Potassium,Soil Ph,Sulphur,Zinc,nutrients_available,coverage_percentage
2023-24,Ariyalur,Andimadam,Authukurichi,60,60,60,60,60,60,60,60,60,60,60,60,12,100.0
2023-24,Ariyalur,Andimadam,Edaayankurichi,120,120,120,120,120,120,120,120,120,120,120,120,12,100.0
2023-24,Ariyalur,Andimadam,Elaiyur (East),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Andimadam,Kattathur (North),120,120,120,120,120,120,120,120,120,120,120,120,12,100.0
2023-24,Ariyalur,Andimadam,Melur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Andimadam,Vilandai (North),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Ariyalur,Andipattakkadu,90,90,90,90,90,90,90,90,90,90,90,90,12,100.0
2023-24,Ariyalur,Ariyalur,Govindapuram,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Ariyalur,Illuppaiyur,110,110,110,110,110,110,110,110,110,110,110,110,12,100.0
2023-24,Ariyalur,Ariyalur,Kallankurichi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Ariyalur,Karuppur (Senapathy),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Ariyalur,Periyanagalur,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Jayamkondam,Amanakkanthondi,60,60,60,60,60,60,60,60,60,60,60,60,12,100.0
2023-24,Ariyalur,Jayamkondam,Angarayanallur (East),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Jayamkondam,Kundaveli (West),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Jayamkondam,Pappakudi (North),100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Jayamkondam,Pappakudi (South),120,120,120,120,120,120,120,120,120,120,120,120,12,100.0
2023-24,Ariyalur,Jayamkondam,Thandalai,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Jayamkondam,Vanathirayampattinam,120,119,119,120,120,120,120,120,120,120,120,120,12,100.0
2023-24,Ariyalur,Sendurai,Adhanakurichi,100,99,100,100,100,100,100,100,100,100,100,100,12,100.0
2023-24,Ariyalur,Sendurai,Anandavadi,100,100,100,100,100,100,100,100,100,100,100,100,12,100.0
